,Title,PublishedAt,Views,Likes,Comments,Month
0,Exciting Announcement!,2023-06-23T17:28:36Z,6051,278,45,Jun
1,AI: A Customer Service Revolution?,2023-05-26T12:00:21Z,3298,111,35,May
2,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16T12:00:25Z,15847,625,54,May
3,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04T12:04:56Z,24229,1064,69,May
4,This AI question will determine our future,2023-04-06T13:00:32Z,4077,256,37,Apr
5,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03T13:00:27Z,69672,790,77,Apr
6,Your current portfolio is actually hurting you #shorts,2023-03-30T13:00:37Z,4807,272,4,Mar
7,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27T13:00:41Z,5086,277,3,Mar
8,you're job searching wrong. #shorts,2023-03-23T13:00:35Z,3441,211,3,Mar
9,The Economics of Data Roles #shorts,2023-03-21T13:00:15Z,5675,363,5,Mar
10,Why your phone knows everything you say #shorts,2023-03-18T13:00:42Z,2506,115,7,Mar
11,Read these for a successful career. #shorts,2023-03-16T01:19:35Z,2637,214,2,Mar
12,Is Your Phone Actually Listening to You? #shorts,2023-03-09T13:00:01Z,2281,44,5,Mar
13,How I Realized I Was a Bad Manager #shorts,2023-03-07T13:00:11Z,2431,115,1,Mar
14,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03T13:00:07Z,18790,716,52,Mar
15,Why I Quit Data Science... and then crawled back #shorts,2023-03-01T13:00:17Z,6345,216,8,Mar
16,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27T13:00:32Z,2305,153,2,Feb
17,Learning On the companies dime #shorts,2023-02-24T17:00:13Z,2879,167,1,Feb
18,The Best Way to Transition to Data Science? #shorts,2023-02-21T17:13:47Z,3555,236,6,Feb
19,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17T13:00:03Z,5755,333,6,Feb
20,Don't Go into Data for the Money #shorts,2023-02-15T10:00:37Z,3555,215,12,Feb
21,First Data Science Project? Watch This.,2023-02-13T13:00:36Z,5316,312,22,Feb
22,How to Approach Applying for a Data Role #shorts,2023-02-08T13:00:39Z,3571,241,7,Feb
23,The Hard Reality of Data Science Work #shorts,2023-02-06T19:35:25Z,9912,633,10,Feb
24,How Much Money Does a Data Scientist Make? #shorts,2023-02-03T12:00:03Z,4167,172,6,Feb
25,These 3 Things Make Data Science Special #shorts,2023-02-01T12:00:12Z,3965,310,6,Feb
26,Will Data Science Be Automated? #shorts,2023-01-27T11:00:44Z,7294,340,7,Jan
27,Is Data Science A Good Fit For You? #shorts,2023-01-25T11:00:05Z,4761,277,9,Jan
28,5 Books I Wish I Read Earlier In My Career,2023-01-23T15:31:48Z,8704,495,50,Jan
29,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19T07:00:06Z,4234,442,10,Jan
30,What Data Science Tool Would I Learn First? #shorts,2023-01-17T07:00:12Z,6127,463,10,Jan
31,How long does it take to become a Data Scientist? #shorts,2023-01-12T11:45:02Z,5216,426,6,Jan
32,Where & how to start your Data Science Journey #shorts,2023-01-09T00:35:13Z,6429,402,2,Jan
33,How I Would NOT Learn Data Science in 2023.,2023-01-03T13:00:34Z,116249,3884,239,Jan
34,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14T13:00:23Z,4727,197,28,Dec
35,The Essential Programming Concepts For Learning Data Science,2022-11-14T13:00:02Z,19685,827,46,Nov
36,The Data Content House: What You Missed,2022-10-07T13:00:04Z,10323,346,50,Oct
37,Is Data Science A Good Career?,2022-09-29T20:40:31Z,57685,1838,132,Sep
38,IRON ANALYST (Teaser) #shorts,2022-09-27T17:21:13Z,5576,362,24,Sep
39,When a New Data Scientist Joins The Team,2022-08-29T13:00:01Z,16199,742,133,Aug
40,State of Data Science - Web Data,2022-08-05T20:20:04Z,10396,360,34,Aug
41,Data Science Town Hall - State of Data Science,2022-08-04T18:34:49Z,9933,378,38,Aug
42,The Programming Roadmap For Data Science,2022-07-29T14:31:33Z,26273,1267,64,Jul
43,5 Impactful Data Science Projects For Your Portfolio,2022-06-27T13:00:10Z,66561,2634,91,Jun
44,Can AI Fix my Baseball Swing?,2022-06-10T13:00:00Z,7449,338,68,Jun
45,Every Data Scientist... (funny!),2022-05-24T13:00:07Z,16225,845,146,May
46,State of Data Science (Town Hall) ft - Data Squad,2022-05-07T22:43:20Z,15954,431,65,May
47,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04T13:00:16Z,53123,1414,87,Apr
48,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25T13:00:38Z,20434,860,110,Mar
49,Data Scientists VS NFT Scam,2022-03-03T13:00:36Z,4597,189,51,Mar
50,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21T13:00:03Z,11023,510,144,Feb
51,What Professional Data Scientists ACTUALLY Do,2022-02-14T13:00:31Z,93094,3246,185,Feb
52,Can You Analyze My Data Better Than I Can?,2022-01-31T13:00:11Z,7147,321,62,Jan
53,Giving Back to My Most Engaged Subscribers!,2022-01-28T13:00:01Z,2316,119,89,Jan
54,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24T13:00:09Z,25922,810,128,Jan
55,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17T13:00:00Z,8769,422,85,Jan
56,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14T10:00:02Z,8440,251,33,Jan
57,The Only Data Science Explanation You Need,2022-01-10T13:00:33Z,49544,2109,172,Jan
58,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03T13:00:35Z,14371,644,144,Jan
59,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27T13:00:34Z,336956,14889,536,Dec
60,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17T14:00:01Z,11003,402,66,Dec
61,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10T13:00:22Z,7976,567,25,Dec
62,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03T13:00:14Z,24325,1174,146,Dec
63,Why Is Data Engineering So HOT Right Now?,2021-11-26T13:00:22Z,29234,1095,141,Nov
64,Is Data Science Dying?,2021-11-19T13:00:01Z,120539,3807,360,Nov
65,7 Incredible Books That Transformed My Health and My Life,2021-11-12T13:00:04Z,8016,387,112,Nov
66,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05T13:00:23Z,3619,203,48,Nov
67,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29T12:00:01Z,12526,286,39,Oct
68,ML Ops: What is it REALLY?,2021-10-22T13:00:00Z,6542,277,65,Oct
69,Business Skills for Data Science: What are they REALLY?,2021-10-18T13:00:27Z,6699,298,50,Oct
70,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12T16:05:54Z,2204,123,5,Oct
71,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08T13:00:15Z,5863,279,64,Oct
72,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20T13:00:20Z,12708,532,112,Aug
73,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07T14:00:11Z,10098,428,32,Aug
74,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06T23:04:24Z,40508,1579,31,Aug
75,How I Learned to Learn.,2021-07-31T13:00:26Z,50584,2352,209,Jul
76,Is Spotify Shuffle Really Random? #Shorts,2021-07-21T13:00:21Z,10292,576,50,Jul
77,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16T21:30:26Z,2375,93,30,Jul
78,Why are APIs Important for Data Science?,2021-07-09T13:00:32Z,9650,448,95,Jul
79,Is Your Phone REALLY Listening to You?,2021-07-03T13:00:31Z,5152,280,116,Jul
80,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25T13:00:12Z,14539,588,121,Jun
81,#66DaysOfData - 3 Reasons to Start!,2021-06-18T13:00:32Z,4078,226,41,Jun
82,#66DaysOfData - What is it? #shorts,2021-06-11T12:48:29Z,8973,387,54,Jun
83,A Quick Data Science Project Tip! #SHORTS,2021-06-03T13:00:06Z,16531,1010,89,Jun
84,Discouraged with Data Science? - Watch THIS video.,2021-05-28T13:00:02Z,7420,391,195,May
85,How Data Science Projects Pay Off,2021-05-22T13:30:03Z,10520,594,146,May
86,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14T13:00:03Z,10495,486,134,May
87,What is a lambda function (python)? #shorts,2021-05-13T00:38:55Z,14939,927,49,May
88,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07T13:00:30Z,27554,1481,61,May
89,What is Pandas? (Data & Data Science) #shorts,2021-04-30T13:00:07Z,23148,1180,87,Apr
90,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23T13:00:14Z,76340,3410,281,Apr
91,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16T13:00:00Z,23372,689,85,Apr
92,Why You Probably Won't Become a Data Scientist,2021-04-09T13:00:31Z,136783,4016,480,Apr
93,How to Go From Data Analyst to Data Scientist,2021-04-02T13:00:14Z,52876,1518,173,Apr
94,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26T13:00:03Z,3963,138,92,Mar
95,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19T13:00:32Z,18126,350,108,Mar
96,My Regrets as a Data Science Student,2021-03-12T13:00:27Z,23806,877,112,Mar
97,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08T13:00:06Z,3822,196,83,Mar
98,What is the Future of my Comment Leaderboard Project?,2021-02-26T14:00:15Z,5558,201,81,Feb
99,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19T13:00:14Z,6617,173,51,Feb
100,Why I Quit Data Science,2021-02-12T13:00:19Z,104401,2342,348,Feb
101,ðŸŒ¶ Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29T13:00:06Z,10629,551,116,Jan
102,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23T14:00:30Z,6988,295,126,Jan
103,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16T14:00:10Z,9490,298,52,Jan
104,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08T13:00:16Z,22088,692,134,Jan
105,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02T14:00:26Z,36821,1133,147,Jan
106,What is the #66DaysOfData?,2020-12-26T14:00:31Z,69317,2314,202,Dec
107,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19T14:00:01Z,131243,5975,488,Dec
108,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10T13:00:09Z,10798,395,133,Dec
109,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07T14:00:11Z,23377,726,326,Dec
110,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20T13:00:26Z,27240,845,160,Nov
111,6 Lessons from #66DaysOfData,2020-11-13T13:00:02Z,6705,340,93,Nov
112,100K Channel Update + AMA Stream!,2020-11-12T17:34:26Z,2319,127,22,Nov
113,Find a Data Science Project With These 3 Techniques,2020-11-06T13:00:13Z,16621,722,106,Nov
114,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30T14:00:07Z,26301,663,155,Oct
115,git for Data Science Made Simple... (Hopefully),2020-10-23T15:00:10Z,18839,853,92,Oct
116,The PODCAST you might have asked for?,2020-10-19T15:00:11Z,2108,94,44,Oct
117,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16T15:00:18Z,6709,448,113,Oct
118,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14T15:00:11Z,13829,405,48,Oct
119,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12T15:00:00Z,6654,142,62,Oct
120,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09T15:00:09Z,10992,554,83,Oct
121,Sh*t Data Scientists Say (Parody),2020-10-05T15:00:08Z,9409,575,143,Oct
122,5 Proven Strategies to Break into a Data Science Job,2020-10-02T15:00:08Z,8607,366,93,Oct
123,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30T15:00:09Z,7052,289,61,Sep
124,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28T15:00:04Z,11457,290,69,Sep
125,5 Essential Data Science Projects for Your Portfolio,2020-09-26T15:00:06Z,71855,3078,208,Sep
126,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23T15:00:02Z,5169,196,64,Sep
127,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21T15:00:03Z,11190,450,58,Sep
128,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18T16:00:10Z,7387,250,34,Sep
129,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16T15:00:24Z,5090,193,56,Sep
130,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14T15:00:00Z,4178,158,35,Sep
131,The 5 Pillars of Success I Live By,2020-09-11T15:00:11Z,10118,873,152,Sep
132,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09T15:00:12Z,1887,78,25,Sep
133,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07T15:00:30Z,4001,161,43,Sep
134,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04T15:00:00Z,11737,731,144,Sep
135,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02T15:00:13Z,17864,567,89,Sep
136,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31T15:00:15Z,17676,790,93,Aug
137,Why I'm Starting Data Science Over Again.,2020-08-29T15:30:10Z,50682,2605,450,Aug
138,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26T15:00:03Z,14979,624,76,Aug
139,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24T15:00:31Z,12656,453,55,Aug
